 MySQL  localhost:3306 ssl  boats  SQL > select s.* from sailors s
                                      -> where s.rating > 9;
+------+---------+-----+--------+
| sid  | name    | age | rating |
+------+---------+-----+--------+
|    1 | Bob1    |  48 |     11 |
|    6 | Bob6    |  79 |     13 |
|    8 | Bob8    |  82 |     14 |
|   17 | Bob17   |  37 |     11 |
|   18 | Bob18   |  71 |     12 |
|   24 | Bob24   |  37 |     11 |
|   25 | Bob25   |  36 |     10 |
|   27 | Bob27   |  23 |     11 |
|   29 | Bob29   |  87 |     14 |
|   30 | Bob30   |  78 |     13 |
|   31 | Bob31   |  92 |     11 |
|   36 | Bob36   |  28 |     11 |
|   44 | Bob44   |  64 |     12 |
|   52 | Bob52   |  75 |     11 |
|   56 | Bob56   |  97 |     14 |
|   61 | Bob61   |  65 |     13 |
|   62 | Bob62   |  56 |     11 |
|   65 | Bob65   |  68 |     10 |
|   67 | Bob67   |  30 |     10 |
|   79 | Bob79   |  18 |     10 |
|   80 | Bob80   |  68 |     11 |
|   81 | Bob81   |  91 |     10 |
|   83 | Bob83   |  78 |     11 |
|   93 | Bob93   |  34 |     10 |
|   94 | Bob94   |  30 |     11 |
|   95 | Bob95   |  49 |     12 |
|  104 | Bob104  |  58 |     10 |
|  108 | Bob108  |  73 |     13 |
|  109 | Bob109  |  89 |     13 |
|  110 | Bob110  |  69 |     10 |
|  116 | Bob116  |  92 |     14 |
|  122 | Bob122  |  33 |     10 |
|  125 | Bob125  |  74 |     11 |
|  127 | Bob127  |  65 |     13 |
|  131 | Bob131  |  72 |     13 |
|  132 | Bob132  |  74 |     11 |
|  133 | Bob133  |  32 |     11 |
|  134 | Bob134  |  48 |     11 |
|  136 | Bob136  |  89 |     11 |
|  138 | Bob138  |  62 |     12 |
|  139 | Bob139  |  97 |     10 |
|  143 | Bob143  |  26 |     10 |
|  145 | Bob145  |  30 |     10 |
|  151 | Bob151  |  65 |     13 |
|  153 | Bob153  |  61 |     10 |
|  157 | Bob157  |  90 |     12 |
|  159 | Bob159  |  42 |     12 |
|  160 | Bob160  |  63 |     13 |
|  162 | Bob162  |  76 |     12 |
|  166 | Bob166  |  82 |     12 |
|  169 | Bob169  |  45 |     12 |
|  172 | Bob172  |  76 |     12 |
|  175 | Bob175  |  67 |     12 |
|  176 | Bob176  |  84 |     11 |
|  177 | Bob177  |  80 |     10 |
|  180 | Bob180  |  69 |     10 |
|  183 | Bob183  |  86 |     11 |
|  186 | Bob186  |  80 |     10 |
|  189 | Bob189  |  32 |     11 |
|  198 | Bob198  |  89 |     13 |
|  200 | Bob200  |  42 |     10 |
|  202 | Bob202  |  76 |     11 |
|  212 | Bob212  |  93 |     11 |
|  219 | Bob219  |  21 |     11 |
|  223 | Bob223  |  23 |     11 |
|  225 | Bob225  |  63 |     12 |
|  226 | Bob226  |  88 |     12 |
|  230 | Bob230  |  83 |     11 |
|  237 | Bob237  |  36 |     10 |
|  241 | Bob241  |  70 |     11 |
|  242 | Bob242  |  86 |     13 |
|  244 | Bob244  |  71 |     10 |
|  245 | Bob245  |  46 |     11 |
|  248 | Bob248  |  88 |     10 |
|  249 | Bob249  |  52 |     11 |
|  252 | Bob252  |  73 |     11 |
|  254 | Bob254  |  82 |     11 |
|  258 | Bob258  |  95 |     13 |
|  259 | Bob259  |  56 |     11 |
|  261 | Bob261  |  84 |     14 |
|  266 | Bob266  |  59 |     10 |
|  268 | Bob268  |  67 |     10 |
|  269 | Bob269  |  96 |     11 |
|  270 | Bob270  |  60 |     13 |
|  271 | Bob271  |  23 |     10 |
|  276 | Bob276  |  83 |     10 |
|  278 | Bob278  |  69 |     12 |
|  281 | Bob281  |  71 |     10 |
|  288 | Bob288  |  79 |     12 |
|  289 | Bob289  |  94 |     10 |
|  294 | Bob294  |  37 |     10 |
|  296 | Bob296  |  64 |     11 |
|  298 | Bob298  |  79 |     10 |
|  299 | Bob299  |  32 |     10 |
|  300 | Bob300  |  74 |     12 |
|  307 | Bob307  |  46 |     12 |
|  309 | Bob309  |  19 |     10 |
|  317 | Bob317  |  50 |     10 |
|  318 | Bob318  |  60 |     10 |
|  322 | Bob322  |  60 |     10 |
|  326 | Bob326  |  28 |     10 |
|  337 | Bob337  |  66 |     10 |
|  338 | Bob338  |  94 |     10 |
|  341 | Bob341  |  61 |     13 |
|  343 | Bob343  |  79 |     13 |
|  348 | Bob348  |  65 |     10 |
|  349 | Bob349  |  28 |     10 |
|  356 | Bob356  |  51 |     11 |
|  357 | Bob357  |  77 |     11 |
|  359 | Bob359  |  86 |     12 |
|  368 | Bob368  |  83 |     10 |
|  369 | Bob369  |  55 |     11 |
|  375 | Bob375  |  90 |     14 |
|  376 | Bob376  |  71 |     12 |
|  377 | Bob377  |  68 |     11 |
|  378 | Bob378  |  93 |     11 |
|  380 | Bob380  |  77 |     11 |
|  383 | Bob383  |  24 |     11 |
|  385 | Bob385  |  80 |     11 |
|  390 | Bob390  |  54 |     10 |
|  395 | Bob395  |  86 |     12 |
|  396 | Bob396  |  91 |     10 |
|  397 | Bob397  |  89 |     11 |
|  399 | Bob399  |  70 |     11 |
|  401 | Bob401  |  87 |     10 |
|  403 | Bob403  |  67 |     11 |
|  408 | Bob408  |  55 |     11 |
|  412 | Bob412  |  51 |     12 |
|  413 | Bob413  |  86 |     12 |
|  414 | Bob414  |  38 |     10 |
|  416 | Bob416  |  49 |     12 |
|  417 | Bob417  |  33 |     11 |
|  418 | Bob418  |  97 |     12 |
|  419 | Bob419  |  68 |     11 |
|  426 | Bob426  |  95 |     12 |
|  428 | Bob428  |  74 |     12 |
